MOIS     ANNEE      MONTANT PRESTATIONS
01       2003               0,00
02       2003               0,00
03       2003           1.484,56
04       2003             636,73
05       2003           3.062,99
06       2003           4.739,45
07       2003           6.128,60
08       2003           1.677,91
09       2003           1.709,76
10       2003           1.940,26
11       2003           1.538,90
12       2003           4.349,07
MOIS     ANNEE      MONTANT PRESTATIONS
01       2004           2.904,47
02       2004           6.591,28
03       2004           1.468,08
04       2004           5.367,08
05       2004             953,49
06       2004           2.807,88
07       2004           1.357,89
08       2004           1.929,41
09       2004           3.233,84
10       2004           1.622,03
11       2004           4.574,31
12       2004           1.311,34
MOIS     ANNEE      MONTANT PRESTATIONS
01       2005           5.583,64
02       2005           3.885,97
03       2005           1.229,10
04       2005           3.415,61
05       2005           3.311,41
06       2005           1.272,75
07       2005             431,33
08       2005             769,40
09       2005           2.172,01
10       2005           4.769,15
11       2005           3.182,50
12       2005           4.044,52
MOIS     ANNEE      MONTANT PRESTATIONS
01       2006           1.567,91
02       2006           4.682,54
03       2006           1.158,17
04       2006             668,89
05       2006           3.099,43
06       2006           2.866,32
07       2006           1.835,97
08       2006           3.028,02
09       2006             935,06
10       2006           1.211,92
11       2006           1.555,58
12       2006           3.007,15
MOIS     ANNEE      MONTANT PRESTATIONS
01       2007           2.915,67
02       2007             441,03
03       2007               0,00
04       2007               0,00
05       2007               0,00
06       2007               0,00
07       2007               0,00
08       2007               0,00
09       2007               0,00
10       2007               0,00
11       2007               0,00
12       2007               0,00
